NAME	TITLE	SCORE	
CHI3L1		42.70404	
IGFBP3		37.694405	
SPOCK2		35.363495	
CDKN1A		32.917866	
HLA-B		32.85476	
MGP		32.57983	
SRPX		32.100563	
C3		31.921026	
COL6A2		31.88138	
NEURL1B		31.837769	
LRATD2		31.700197	
GPNMB		31.66827	
PTN		31.646776	
RGS5		31.393843	
BST2		31.238174	
SAMD9L		30.77379	
ICAM1		30.689762	
CTSS		30.277288	
FN1		30.245272	
C1S		30.069473	
APLP1		29.676023	
PDGFRA		29.580904	
PLXNA4		29.510054	
SOD2		29.444881	
GDF15		29.348604	
SLITRK2		29.343946	
TCIM		29.340517	
JAG1		29.226053	
COL14A1		28.973711	
PNMA2		28.887514	
DGKI		28.689373	
HEPH		28.577923	
DIRAS3		28.551254	
PLAU		28.50231	
CDKN2B		28.442123	
MX1		28.433386	
SEZ6L2		28.385597	
IFI6		28.37316	
SERPINI1		28.269506	
CXCR4		28.071188	
IGFBP5		27.632095	
ITGA7		27.624588	
MCAM		27.604261	
TMPRSS2		27.55094	
SHC4		27.504827	
ITGA3		27.336613	
IFIT3		27.242281	
OAS3		27.196957	
TRPM8		26.928925	
FBXO32		26.891966	
NT5E		26.7785	
IFI44L		26.548891	
SFRP5		26.541782	
CXCL8		26.440794	
PRUNE2		26.355213	
PDZD2		26.27842	
EPAS1		26.25997	
MEST		26.252115	
GLIPR1		26.087664	
OAS2		26.061102	
MYBPH		25.974972	
GEM		25.916815	
PARP9		25.912472	
NRP1		25.875149	
MDK		25.83397	
PBXIP1		25.795696	
NPAS2		25.729067	
ACP5		25.624012	
LAMA4		25.613592	
BIRC3		25.52864	
XAF1		25.52393	
COL27A1		25.486547	
VCAN		25.466026	
DTX3L		25.376917	
CHGB		25.297733	
CYRIA		25.194036	
LINC01206		25.188286	
TNFRSF21		25.136265	
OSMR		25.122864	
MR1		25.084488	
ACTA2		25.06041	
IFITM1		24.96652	
PARP14		24.959692	
KCNE4		24.875679	
PRSS23		24.857805	
PTK2B		24.819706	
ABCC3		24.811678	
ITGA2		24.784681	
BTG1		24.755527	
PROX1		24.665743	
MAN1A1		24.665627	
C2CD4A		24.61512	
PLS3		24.610521	
H2BC21		24.59824	
TIMP1		24.535002	
TSPYL2		24.530222	
DDX60		24.494915	
DNMBP		24.49119	
FBLN1		24.444094	
HLA-C		24.42305	
SDC4		24.391787	
RNR2		24.376505	
FBLIM1		24.36929	
DPP4		24.34487	
CD68		24.291925	
CCR7		24.28321	
ITPKB		24.228592	
IRAK2		24.204565	
TRAF1		24.165024	
UNC5D		23.997833	
IRF1		23.98101	
OPTN		23.978855	
MRC2		23.960667	
A2M		23.957228	
APOL6		23.896559	
LAMB3		23.879095	
KIAA0513		23.84834	
CTSV		23.810925	
IL13RA2		23.807638	
TNFRSF9		23.769823	
C4orf54		23.703932	
KCNJ2		23.695883	
IGFBP7		23.58392	
METTL7B		23.574566	
ADAM12		23.54623	
LIPA		23.503008	
SYTL5		23.44956	
PTHLH		23.359125	
SYNE3		23.346012	
CCN3		23.327406	
JUN		23.284595	
APOLD1		23.259066	
VCAM1		23.256563	
CRYAB		23.199112	
KLF10		23.177984	
NEMP1		23.166948	
MYH15		23.101646	
FAT3		23.056007	
SLC2A12		23.03272	
CUBN		22.973358	
EGR2		22.96219	
DGAT2L6		22.856707	
LIF		22.851469	
STAT1		22.847816	
ABCA13		22.819002	
PPP1R15A		22.742626	
GUCY1A1		22.673826	
LTBP3		22.64691	
ATP2B4		22.606544	
COL1A1		22.60531	
GBP4		22.585081	
TLR4		22.57893	
TPM2		22.570368	
USP11		22.546804	
NPNT		22.541113	
SPOCD1		22.535753	
PLD3		22.532963	
SLCO3A1		22.5284	
HAP1		22.515553	
CD24		22.47741	
RELB		22.476273	
CD47		22.452345	
CNR1		22.417002	
COL6A3		22.398277	
APOE		22.39431	
GSN		22.355066	
ITGB3		22.322563	
STON2		22.293568	
JUNB		22.263908	
LOC124902010		22.236938	
ZNF528		22.225393	
DCBLD2		22.220745	
AQP1		22.148796	
CEMIP		22.12633	
DKK3		22.112226	
BHLHE41		22.075193	
CELF2		22.040161	
BEX1		22.019262	
COL7A1		22.004812	
PGBD5		21.979912	
FZD7		21.935118	
MMP14		21.883976	
NLRP1		21.872843	
IFIT1		21.870766	
ELN		21.863846	
CHRNA9		21.831146	
HEXB		21.818241	
MTUS1		21.818037	
MAP3K4-AS1		21.814747	
ABCA7		21.804777	
FILIP1L		21.788445	
MID1		21.780443	
STX3		21.7428	
MYLK		21.734222	
OSBP2		21.638552	
GRN		21.602722	
TNC		21.597584	
EYA1		21.563375	
LINC01303		21.536219	
PLXNC1		21.532722	
NFKB2		21.511606	
GARIN1B		21.49276	
ITM2B		21.488043	
ZNF93		21.484299	
EMC3-AS1		21.475512	
GBP1		21.451246	
SERPINE1		21.439213	
CNIH3		21.390104	
RCAN2		21.372362	
TNFAIP8L3		21.365265	
ASAH1		21.330273	
PCDH19		21.28159	
NPTXR		21.19293	
TPP1		21.188044	
IFI44		21.177532	
NTRK2		21.175436	
CX3CL1		21.144102	
COLGALT2		21.089886	
NFASC		21.07213	
B2M		21.057764	
LMO4		21.034824	
LRP12		21.031975	
CHST11		20.994345	
ITGB8		20.961533	
TRANK1		20.960184	
EGFR		20.941824	
CYB5R1		20.900284	
FOSL2		20.85335	
HELZ2		20.816082	
FRG2EP		20.81236	
FAM102A		20.807285	
IDS		20.801094	
DNAJB9		20.786457	
MYORG		20.768423	
CAMK2D		20.74854	
LGALS1		20.723219	
CPA4		20.715725	
MGST1		20.7135	
SHC1		20.710224	
MDGA1		20.698917	
NHS		20.686571	
STAT2		20.656723	
PDP1		20.605656	
CLU		20.569872	
ITGAV		20.526121	
PDK4		20.507025	
SLC9A7		20.502773	
LIPG		20.431395	
SERINC5		20.423048	
ITPR1		20.406574	
CTSF		20.388454	
ERRFI1		20.382158	
CACNA1E		20.357914	
SERPINB8		20.33699	
MAP1LC3B		20.326302	
PEA15		20.275957	
CYBRD1		20.20864	
EPHB3		20.20051	
ADAMTS4		20.188135	
TMEM132A		20.169607	
POLQ		20.145899	
AKAP6		20.145426	
CHST6		20.144865	
PCDH1		20.13483	
CD74		20.128391	
CDC25B		20.112438	
CYP1A1		20.080608	
GADD45A		20.071243	
THY1		20.04061	
IFI30		20.020924	
CYLD		20.020119	
DRAXIN		20.016405	
SPRED3		20.014988	
LY96		20.010275	
EEF1A2		19.93279	
SSC5D		19.881725	
ZNF44		19.880032	
FANCD2		19.877228	
IL32		19.860926	
BRCA1		19.847933	
IFI16		19.844849	
SOD3		19.842743	
RRAD		19.815073	
LAYN		19.76895	
OASL		19.76382	
NMNAT2		19.734947	
BVES		19.723574	
